,Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Touches,FantPt/Touch
107,105,Michael Carter,NYJ,RB,22,14,11,0,0,0,0,0,147,639,4.35,4,55,36,325,9.03,0,1,1,4,,,118,154.4,161.4,136.4,,30,,183.0,0.644808743169399
108,106,Taysom Hill,NOR,QB,31,12,9,78,134,978,4,5,70,374,5.34,5,6,4,52,13.00,0,2,0,5,,,118,121.7,132.7,124.7,,32,,74.0,0.0
109,107,Van Jefferson,LAR,WR,25,17,17,0,0,0,0,0,2,20,10.00,0,89,50,802,16.04,6,0,0,6,,,118,168.2,171.2,143.2,,31,,52.0,2.269230769230769
110,108,Tyler Boyd,CIN,WR,27,16,10,1,1,46,0,0,2,22,11.00,0,94,67,828,12.36,5,1,0,5,,,117,183.8,186.8,150.3,,33,,69.0,1.6956521739130435
112,110,Rashaad Penny,SEA,RB,25,10,6,0,0,0,0,0,119,749,6.29,6,8,6,48,8.00,0,0,0,6,,,116,121.7,124.7,118.7,,31,,125.0,0.928
113,111,Brandon Aiyuk,SFO,WR,23,17,16,0,0,0,0,0,5,17,3.40,0,84,56,826,14.75,5,2,1,5,1,,114,170.3,174.3,142.3,,34,,61.0,1.8688524590163935
114,112,Devonta Freeman,BAL,RB,29,16,8,0,0,0,0,0,133,576,4.33,5,42,34,190,5.59,1,0,0,6,,,113,146.6,152.6,129.6,,32,,167.0,0.6766467065868264
115,113,Chuba Hubbard,CAR,RB,22,17,10,0,0,0,0,0,172,612,3.56,5,37,25,174,6.96,1,1,1,6,,,113,137.6,144.6,125.1,,33,,197.0,0.5736040609137056
116,114,K.J. Osborn,MIN,WR,24,17,9,0,0,0,0,0,1,10,10.00,0,82,50,655,13.10,7,0,0,7,,,109,158.5,161.5,133.5,,35,,51.0,2.1372549019607843
117,115,Saquon Barkley,NYG,RB,24,13,13,0,0,0,0,0,162,593,3.66,2,57,41,263,6.41,2,2,1,4,,,108,148.6,155.6,128.1,,34,,203.0,0.5320197044334976
118,116,Chase Claypool,PIT,WR,23,15,13,0,0,0,0,0,14,96,6.86,0,105,59,860,14.58,2,0,0,2,,,108,166.6,169.6,137.1,,36,,73.0,1.4794520547945205
119,117,Marvin Jones,JAX,WR,31,17,16,0,0,0,0,0,0,0,,0,120,73,832,11.40,4,0,0,4,,,107,180.2,183.2,143.7,,37,,73.0,1.4657534246575343
120,118,Marquez Callaway,NOR,WR,23,17,11,0,0,0,0,0,0,0,,0,84,46,698,15.17,6,0,0,6,,,106,151.8,154.8,128.8,,38,,46.0,2.3043478260869565
121,119,DeAndre Hopkins,ARI,WR,29,10,10,0,0,0,0,0,0,0,,0,64,42,572,13.62,8,0,0,8,,,105,147.2,150.2,126.2,,39,,42.0,2.5
123,120,Devontae Booker,NYG,RB,29,16,4,0,0,0,0,0,145,593,4.09,2,45,40,268,6.70,1,0,0,3,,,104,144.1,150.1,124.1,,35,,185.0,0.5621621621621622
124,121,A.J. Green,ARI,WR,33,16,9,0,0,0,0,0,0,0,,0,92,54,848,15.70,3,0,0,3,,,103,156.8,159.8,129.8,,43,,54.0,1.9074074074074074
125,122,Allen Lazard,GNB,WR,26,15,13,0,0,0,0,0,3,32,10.67,0,60,40,513,12.83,8,0,0,8,,,103,142.5,145.5,122.5,,44,,43.0,2.395348837209302
126,123,Jakobi Meyers,NWE,WR,25,17,16,2,2,45,0,0,1,9,9.00,0,126,83,866,10.43,2,1,1,2,2,,103,186.3,190.3,144.8,,41,,84.0,1.2261904761904763
127,124,Tim Patrick,DEN,WR,28,16,16,0,0,0,0,0,0,0,,0,85,53,734,13.85,5,0,0,5,,,103,156.4,159.4,129.9,,40,,53.0,1.9433962264150944
128,125,Cedrick Wilson Jr.,DAL,WR,26,16,4,3,3,88,0,0,2,11,5.50,0,61,45,602,13.38,6,3,0,6,1,,103,147.8,150.8,125.3,,42,,47.0,2.1914893617021276
129,126,Rhamondre Stevenson,NWE,RB,23,12,2,0,0,0,0,0,133,606,4.56,5,18,14,123,8.79,0,2,1,5,,,101,114.9,121.9,107.9,,36,,147.0,0.6870748299319728
130,127,Chase Edmonds,ARI,RB,25,12,11,0,0,0,0,0,116,592,5.10,2,53,43,311,7.23,0,1,1,2,,,100,143.3,150.3,121.8,,37,,159.0,0.6289308176100629
131,128,Clyde Edwards-Helaire,KAN,RB,22,10,10,0,0,0,0,0,119,517,4.34,4,23,19,129,6.79,2,2,2,6,1,,99,117.6,125.6,108.1,,38,,138.0,0.717391304347826
132,129,Russell Gage,ATL,WR,25,14,9,0,0,0,0,0,0,0,,0,94,66,770,11.67,4,2,2,4,,,97,163.0,168.0,130.0,,45,,66.0,1.4696969696969697
133,130,Elijah Moore,NYJ,WR,21,11,6,0,0,0,0,0,5,54,10.80,1,77,43,538,12.51,5,0,0,6,,,95,138.2,141.2,116.7,,46,,48.0,1.9791666666666667
134,131,Mike Davis,ATL,RB,28,17,8,0,0,0,0,0,138,503,3.64,3,58,44,259,5.89,1,4,3,4,,,94,138.2,147.2,116.2,,39,,182.0,0.5164835164835165
135,132,Alexander Mattison,MIN,RB,23,16,4,0,0,0,0,0,134,491,3.66,3,39,32,228,7.13,1,1,1,4,,,94,125.9,132.9,109.9,,40,,166.0,0.5662650602409639
136,133,Latavius Murray,BAL,RB,31,14,6,0,0,0,0,0,119,501,4.21,6,13,10,75,7.50,0,0,0,6,,,94,103.6,106.6,98.6,,42,,129.0,0.7286821705426356
137,134,Jamaal Williams,DET,RB,26,13,11,0,0,0,0,0,153,601,3.93,3,28,26,157,6.04,0,1,0,3,,,94,119.8,125.8,106.8,,41,,179.0,0.5251396648044693
138,135,Pat Freiermuth,PIT,TE,23,16,9,0,0,0,0,0,0,0,,0,79,60,497,8.28,7,1,1,7,1,,92,151.7,155.7,121.7,,12,,60.0,1.5333333333333334
139,136,Courtland Sutton,DEN,WR,26,17,16,1,1,16,0,0,0,0,,0,98,58,776,13.38,2,0,0,2,1,,92,150.2,153.2,121.2,,47,,58.0,1.5862068965517242
140,137,Robert Woods,LAR,WR,29,9,9,0,0,0,0,0,8,46,5.75,1,69,45,556,12.36,4,0,0,5,1,,92,137.2,140.2,114.7,,48,,53.0,1.7358490566037736
141,138,Gabriel Davis,BUF,WR,22,16,4,0,0,0,0,0,0,0,,0,63,35,549,15.69,6,0,0,6,,,91,125.9,128.9,108.4,,49,,35.0,2.6
142,139,Noah Fant,DEN,TE,24,16,16,0,0,0,0,0,0,0,,0,90,68,670,9.85,4,0,0,4,,,91,159.0,162.0,125.0,,13,,68.0,1.338235294117647
144,141,Miles Sanders,PHI,RB,24,12,12,0,0,0,0,0,137,754,5.50,0,34,26,158,6.08,0,1,1,0,1,,91,117.2,124.2,104.2,,43,,163.0,0.558282208588957
145,142,Kenneth Gainwell,PHI,RB,22,16,1,0,0,0,0,0,68,291,4.28,5,50,33,253,7.67,1,2,1,6,1,,90,123.4,130.4,106.9,,45,,101.0,0.8910891089108911
146,143,Emmanuel Sanders,BUF,WR,34,14,13,0,0,0,0,0,2,31,15.50,0,72,42,626,14.90,4,0,0,4,,,90,131.7,134.7,110.7,,50,,44.0,2.0454545454545454
148,145,Kareem Hunt,CLE,RB,26,8,1,0,0,0,0,0,78,386,4.95,5,27,22,174,7.91,0,0,0,5,1,,88,110.0,116.0,99.0,,46,,100.0,0.88
149,146,Robby Anderson,CAR,WR,28,17,16,0,0,0,0,0,3,36,12.00,0,110,53,519,9.79,5,0,0,5,,,86,138.5,141.5,112.0,,51,,56.0,1.5357142857142858
150,147,Tyler Higbee,LAR,TE,28,15,15,0,0,0,0,0,0,0,,0,85,61,560,9.18,5,1,0,5,,,86,147.0,150.0,116.5,,14,,61.0,1.4098360655737705
151,148,Cam Newton,CAR,QB,32,8,5,69,126,684,4,5,47,230,4.89,5,0,0,0,,0,4,1,5,,1,86,86.4,98.4,91.4,,35,,47.0,0.0
152,149,Boston Scott,PHI,RB,26,16,4,0,0,0,0,0,87,373,4.29,7,16,13,83,6.38,0,1,1,7,,,86,98.6,102.6,92.1,,47,,100.0,0.86
154,150,Odell Beckham Jr.,2TM,WR,29,14,13,0,0,0,0,0,2,14,7.00,0,82,44,537,12.20,5,0,0,5,,,85,129.1,132.1,107.1,,52,,46.0,1.8478260869565217
155,151,D'Onta Foreman,TEN,RB,25,9,3,0,0,0,0,0,133,566,4.26,3,11,9,123,13.67,0,2,1,3,,,85,93.9,100.9,89.4,,49,,142.0,0.5985915492957746
156,152,D'Ernest Johnson,CLE,RB,25,17,2,0,0,0,0,0,100,534,5.34,3,25,19,137,7.21,0,1,0,3,,,85,104.1,110.1,94.6,,48,,119.0,0.7142857142857143
157,153,J.D. McKissic,WAS,RB,28,11,3,0,0,0,0,0,48,212,4.42,2,53,43,397,9.23,2,0,0,4,,,85,127.9,133.9,106.4,,50,,91.0,0.9340659340659341
158,154,Byron Pringle,KAN,WR,28,17,5,0,0,0,0,0,0,0,,0,60,42,568,13.52,5,2,1,5,,,85,126.8,130.8,105.8,,53,,42.0,2.0238095238095237
159,155,Jared Cook,LAC,TE,34,16,10,0,0,0,0,0,0,0,,0,83,48,564,11.75,4,0,0,4,2,,84,132.4,135.4,108.4,,15,,48.0,1.75
160,156,Andy Dalton,CHI,QB,34,8,6,149,236,1515,8,9,16,76,4.75,0,0,0,0,,0,1,1,0,,2,84,84.2,97.2,93.2,,36,,16.0,0.0
161,157,T.J. Hockenson,DET,TE,24,12,12,0,0,0,0,0,0,0,,0,84,61,583,9.56,4,0,0,4,1,,84,145.3,148.3,114.8,,16,,61.0,1.3770491803278688
162,158,Kalif Raymond,DET,WR,27,16,14,0,0,0,0,0,4,28,7.00,0,71,48,576,12.00,4,0,0,4,,,84,132.4,135.4,108.4,,54,,52.0,1.6153846153846154
163,159,Brandon Bolden,NWE,RB,31,17,1,0,0,0,0,0,44,226,5.14,1,49,41,405,9.88,2,1,0,3,1,,83,124.1,130.1,103.6,,51,,85.0,0.9764705882352941
165,161,Ty Johnson,NYJ,RB,24,16,3,0,0,0,0,0,61,238,3.90,2,55,34,372,10.94,2,2,1,4,,,83,117.0,124.0,100.0,,52,,95.0,0.8736842105263158
166,162,Mecole Hardman,KAN,WR,23,17,8,0,0,0,0,0,8,46,5.75,0,83,59,693,11.75,2,3,2,2,,,82,140.9,145.9,111.4,,55,,67.0,1.2238805970149254
167,163,Mark Ingram,2TM,RB,32,14,10,0,0,0,0,0,160,554,3.46,2,35,27,162,6.00,0,1,1,2,,,82,108.6,115.6,95.1,,54,,187.0,0.4385026737967914
168,164,Zack Moss,BUF,RB,24,13,0,0,0,0,0,0,96,345,3.59,4,32,23,197,8.57,1,2,1,5,,,82,105.2,112.2,93.7,,53,,119.0,0.6890756302521008
170,166,Jarvis Landry,CLE,WR,29,12,12,0,0,0,0,0,6,40,6.67,2,87,52,570,10.96,2,3,2,4,,,81,133.0,138.0,107.0,,56,,58.0,1.396551724137931
172,168,Rex Burkhead,HOU,RB,31,16,5,0,1,0,0,0,122,427,3.50,3,32,25,186,7.44,0,1,0,3,,,79,104.3,110.3,91.8,,55,,147.0,0.5374149659863946
173,169,C.J. Uzomah,CIN,TE,28,16,16,0,0,0,0,0,0,0,,0,63,49,493,10.06,5,0,0,5,,,79,128.3,131.3,103.8,,17,,49.0,1.6122448979591837
174,170,Darren Waller,LVR,TE,29,11,11,0,0,0,0,0,0,0,,0,93,55,665,12.09,2,0,0,2,,,79,133.5,136.5,106.0,,18,,55.0,1.4363636363636363
175,171,Cole Beasley,BUF,WR,32,16,8,0,1,0,0,0,0,0,,0,112,82,693,8.45,1,1,0,1,1,,77,159.3,162.3,118.3,,58,,82.0,0.9390243902439024
176,172,Tyler Conklin,MIN,TE,26,17,15,0,0,0,0,0,0,0,,0,87,61,593,9.72,3,1,0,3,,,77,138.3,141.3,107.8,,19,,61.0,1.2622950819672132
177,173,Deonte Harris,NOR,WR,24,13,1,0,0,0,0,0,5,41,8.20,0,59,36,570,15.83,3,2,1,3,,,77,113.1,117.1,95.1,,59,,41.0,1.8780487804878048
178,174,Donovan Peoples-Jones,CLE,WR,22,14,9,0,0,0,0,0,0,0,,0,58,34,597,17.56,3,2,1,3,,,76,109.7,113.7,92.7,,60,,34.0,2.235294117647059
179,175,Braxton Berrios,NYJ,WR,26,16,1,0,0,0,0,0,7,40,5.71,2,65,46,431,9.37,2,1,1,5,,,75,121.1,125.1,98.1,,61,,53.0,1.4150943396226414
180,176,Bryan Edwards,LVR,WR,23,16,12,0,0,0,0,0,1,0,0.00,0,59,34,571,16.79,3,1,0,3,,,75,109.1,112.1,92.1,,62,,35.0,2.142857142857143
181,177,Kenyan Drake,LVR,RB,27,12,2,0,0,0,0,0,63,254,4.03,2,40,30,291,9.70,1,1,0,3,,,73,102.5,108.5,87.5,,57,,93.0,0.7849462365591398
182,178,Nyheim Hines,IND,RB,25,17,4,0,0,0,0,0,56,276,4.93,2,57,40,310,7.75,1,3,2,3,,,73,112.6,120.6,92.6,,56,,96.0,0.7604166666666666
183,179,Quez Watkins,PHI,WR,23,17,12,0,0,0,0,0,1,3,3.00,0,62,43,647,15.05,1,0,0,1,1,,73,116.0,119.0,94.5,,63,,44.0,1.6590909090909092
185,180,Jacoby Brissett,MIA,QB,29,11,5,141,225,1283,5,4,19,70,3.68,1,0,0,0,,0,6,3,1,,1,72,72.3,82.3,76.3,,39,,19.0,0.0
186,181,David Njoku,CLE,TE,25,16,11,0,0,0,0,0,1,1,1.00,0,53,36,475,13.19,4,0,0,4,,,72,107.6,110.6,89.6,,20,,37.0,1.945945945945946
187,182,Corey Davis,NYJ,WR,26,9,9,0,0,0,0,0,0,0,,0,59,34,492,14.47,4,2,1,4,,,71,105.2,109.2,88.2,,64,,34.0,2.088235294117647
188,183,Gerald Everett,SEA,TE,27,15,12,0,0,0,0,0,3,20,6.67,0,63,48,478,9.96,4,2,2,4,,,70,117.8,122.8,93.8,,21,,51.0,1.3725490196078431
189,184,Nick Westbrook-Ikhine,TEN,WR,24,16,7,0,0,0,0,0,0,0,,0,57,38,476,12.53,4,1,1,4,,,70,107.6,111.6,88.6,,65,,38.0,1.8421052631578947
190,185,Ronald Jones II,TAM,RB,24,16,3,0,0,0,0,0,101,428,4.24,4,13,10,64,6.40,0,2,2,4,,,69,79.2,84.2,74.2,,58,,111.0,0.6216216216216216
191,186,Nelson Agholor,NWE,WR,28,15,13,0,0,0,0,0,3,11,3.67,0,64,37,473,12.78,3,0,0,3,,,66,103.4,106.4,84.9,,66,,40.0,1.65
192,187,Randall Cobb,GNB,WR,31,12,3,0,0,0,0,0,1,1,1.00,0,39,28,375,13.39,5,1,1,5,,,66,93.6,97.6,79.6,,68,,29.0,2.2758620689655173
193,188,Jalen Guyton,LAC,WR,24,16,2,0,0,0,0,0,7,34,4.86,0,48,31,448,14.45,3,1,0,3,,,66,97.2,100.2,81.7,,67,,38.0,1.736842105263158
194,189,Khalil Herbert,CHI,RB,23,17,2,0,0,0,0,0,103,433,4.20,2,16,14,96,6.86,0,1,0,2,,,65,78.9,81.9,71.9,,59,,117.0,0.5555555555555556
196,191,Justin Jackson,LAC,RB,25,14,2,0,0,0,0,0,68,364,5.35,2,25,22,178,8.09,0,1,1,2,,,64,86.2,93.2,75.2,,60,,90.0,0.7111111111111111
197,192,DeVante Parker,MIA,WR,28,10,8,0,0,0,0,0,0,0,,0,73,40,515,12.88,2,0,0,2,,,64,103.5,106.5,83.5,,70,,40.0,1.6
198,193,Laviska Shenault Jr.,JAX,WR,23,16,10,0,0,0,0,0,11,41,3.73,0,100,63,619,9.83,0,1,1,0,,,64,127.0,131.0,95.5,,69,,74.0,0.8648648648648649
199,194,DeAndre Carter,WAS,WR,28,17,6,0,0,0,0,0,10,89,8.90,0,44,24,296,12.33,3,3,0,4,,,63,86.5,89.5,74.5,,71,,34.0,1.8529411764705883
200,195,Freddie Swain,SEA,WR,23,17,8,0,0,0,0,0,5,32,6.40,0,40,25,343,13.72,4,1,0,4,,,62,86.5,89.5,74.0,,72,,30.0,2.066666666666667
202,197,Cole Kmet,CHI,TE,22,17,17,0,0,0,0,0,1,0,0.00,0,93,60,612,10.20,0,0,0,0,,,61,121.2,124.2,91.2,,22,,61.0,1.0
204,199,Marquez Valdes-Scantling,GNB,WR,27,11,7,0,0,0,0,0,0,0,,0,55,26,430,16.54,3,0,0,3,,,61,87.0,90.0,74.0,,73,,26.0,2.3461538461538463
205,200,Alex Collins,SEA,RB,27,11,6,0,0,0,0,0,108,411,3.81,2,10,9,87,9.67,0,1,1,2,,,60,68.8,72.8,64.3,,62,,117.0,0.5128205128205128
206,201,Josh Palmer,LAC,WR,23,17,5,0,0,0,0,0,1,6,6.00,0,49,33,353,10.70,4,0,0,4,,,60,92.9,95.9,76.4,,75,,34.0,1.7647058823529411
207,202,Jamison Crowder,NYJ,WR,28,12,4,0,0,0,0,0,0,0,,0,71,51,447,8.76,2,1,1,2,1,1,59,109.7,113.7,84.2,,78,,51.0,1.1568627450980393
208,203,Zay Jones,LVR,WR,26,17,9,0,0,0,0,0,2,3,1.50,0,70,47,546,11.62,1,1,1,1,,,59,105.9,109.9,82.4,,76,,49.0,1.2040816326530612
209,204,Olamide Zaccheaus,ATL,WR,24,17,8,0,0,0,0,0,1,2,2.00,0,53,31,406,13.10,3,0,0,3,,,59,89.8,92.8,74.3,,77,,32.0,1.84375
210,205,Rashod Bateman,BAL,WR,22,12,4,0,0,0,0,0,0,0,,0,68,46,515,11.20,1,0,0,1,,,58,103.5,106.5,80.5,,80,,46.0,1.2608695652173914
211,206,Jauan Jennings,SFO,WR,24,16,1,0,0,0,0,0,0,0,,0,38,24,282,11.75,5,1,0,5,,,58,82.2,85.2,70.2,,79,,24.0,2.4166666666666665
212,207,Evan Engram,NYG,TE,27,15,12,0,0,0,0,0,1,-3,-3.00,0,73,46,408,8.87,3,1,1,3,,,57,102.5,106.5,79.5,,23,,47.0,1.2127659574468086
213,208,Michael Gallup,DAL,WR,25,9,8,0,0,0,0,0,0,0,,0,62,35,445,12.71,2,0,0,2,,,57,91.5,94.5,74.0,,81,,35.0,1.6285714285714286
214,209,Zach Pascal,IND,WR,27,16,13,0,0,0,0,0,2,21,10.50,0,69,38,384,10.11,3,1,1,3,,,57,94.5,98.5,75.5,,82,,40.0,1.425
216,210,Mo Alie-Cox,IND,TE,28,17,7,0,0,0,0,0,0,0,,0,45,24,316,13.17,4,1,0,4,,,56,79.6,82.6,67.6,,24,,24.0,2.3333333333333335
217,211,DeSean Jackson,2TM,WR,35,16,4,0,0,0,0,0,1,4,4.00,0,34,20,454,22.70,2,1,1,2,,,56,75.8,79.8,65.8,,83,,21.0,2.6666666666666665
218,212,Samaje Perine,CIN,RB,26,16,0,0,0,0,0,0,55,246,4.47,1,31,27,196,7.26,1,0,0,2,,,56,83.2,89.2,69.7,,63,,82.0,0.6829268292682927
219,213,Tre'Quan Smith,NOR,WR,25,11,6,0,0,0,0,0,0,0,,0,50,32,377,11.78,3,1,0,3,,,56,87.7,90.7,71.7,,84,,32.0,1.75
220,214,Austin Hooper,CLE,TE,27,16,16,0,0,0,0,0,0,0,,0,61,38,345,9.08,3,0,0,3,1,,55,92.5,95.5,73.5,,26,,38.0,1.4473684210526316
222,216,Rondale Moore,ARI,WR,21,14,7,0,0,0,0,0,18,76,4.22,0,64,54,435,8.06,1,3,1,1,,,55,109.1,113.1,82.1,,85,,72.0,0.7638888888888888
223,217,Foster Moreau,LVR,TE,24,17,11,0,0,0,0,0,0,0,,0,44,30,373,12.43,3,1,0,3,,,55,85.3,88.3,70.3,,25,,30.0,1.8333333333333333
224,218,Dontrell Hilliard,TEN,RB,26,8,5,0,0,0,0,0,56,350,6.25,2,26,19,87,4.58,0,2,1,2,,,54,72.7,76.7,63.2,,65,,75.0,0.72
226,220,Ameer Abdullah,2TM,RB,28,17,1,0,0,0,0,0,51,166,3.25,0,53,38,289,7.61,1,0,0,1,,,52,89.5,95.5,70.5,,66,,89.0,0.5842696629213483
227,221,Jamal Agnew,JAX,WR,26,10,2,0,0,0,0,0,7,111,15.86,1,39,24,229,9.54,1,1,0,3,,,52,76.0,82.0,64.0,,87,,31.0,1.6774193548387097
228,222,Kenny Golladay,NYG,WR,28,14,14,0,0,0,0,0,0,0,,0,76,37,521,14.08,0,0,0,0,,,52,89.1,92.1,70.6,,86,,37.0,1.4054054054054055
229,223,Josh Reynolds,2TM,WR,26,12,5,0,0,0,0,0,0,0,,0,49,29,396,13.66,2,0,0,2,,,52,80.6,83.6,66.1,,88,,29.0,1.793103448275862
